SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree421	-11354.9	0	0	0	0.277	421.625	417.793	11.891
tree422	-11354.9	0	0	0	0.296	417.421	413.335	11.618
tree423	-11354.9	0	0	0	0.296	426.198	422.55	12.056
tree424	-11354.9	0	0	0	0.296	446.01	442.928	12.622
tree425	-11354.9	0	0	0	0.287	422.137	418.252	11.828
tree426	-11354.9	0	0	0	0.291	427.178	423.386	11.917
tree427	-11354.9	0	0	0	0.247	429.482	425.748	12.019
tree428	-11354.9	0	0	0	0.302	433.246	429.701	12.153
tree429	-11354.9	0	0	0	0.285	458.103	455.577	13.189
tree430	-11354.9	0	0	0	0.27	445.841	442.845	12.734
tree431	-11354.9	0	0	0	0.292	426.924	423.32	12.104
tree432	-11354.9	0	0	0	0.257	443.469	440.771	13.045
tree433	-11354.9	0	0	0	0.308	426.353	422.564	11.903
tree434	-11354.9	0	0	0	0.267	447.836	444.998	12.895
tree435	-11354.9	0	0	0	0.29	429.518	425.588	11.78
tree436	-11354.9	0	0	0	0.316	433.549	430.35	12.485
tree437	-11354.9	0	0	0	0.296	436.285	432.807	12.226
tree438	-11354.9	0	0	0	0.289	435.635	432.214	12.29
tree439	-11354.9	0	0	0	0.279	420.929	417.13	11.922
tree440	-11354.9	0	0	0	0.278	432.74	429.308	12.29
tree441	-11354.9	0	0	0	0.282	424.857	420.878	11.739
tree442	-11354.9	0	0	0	0.296	428.495	424.777	11.986
tree443	-11354.9	0	0	0	0.291	433.898	430.398	12.209
tree444	-11354.9	0	0	0	0.273	454.564	451.977	13.14
tree445	-11354.9	0	0	0	0.308	430.46	426.683	11.915
tree446	-11354.9	0	0	0	0.314	419.328	415.2	11.558
tree447	-11354.9	0	0	0	0.275	427.015	423.368	12.078
tree448	-11354.9	0	0	0	0.298	428.073	424.556	12.185
tree449	-11354.9	0	0	0	0.293	426.287	422.715	12.135
tree450	-11354.9	0	0	0	0.311	419.714	415.81	11.785
tree451	-11354.9	0	0	0	0.287	434.817	431.349	12.245
tree452	-11354.9	0	0	0	0.291	438.392	435.146	12.463
tree453	-11354.9	0	0	0	0.31	434.898	431.395	12.187
